day,year,total_accident
Sat,2007,112
Sun,2007,87
Mon,2007,115
Tue,2007,144
Wed,2007,123
Thu,2007,161
Fri,2007,151
Sat,2008,135
Sun,2008,82
Mon,2008,124
Tue,2008,146
Wed,2008,137
Thu,2008,150
Fri,2008,193
Sat,2009,122
Sun,2009,65
Mon,2009,142
Tue,2009,136
Wed,2009,149
Thu,2009,150
Fri,2009,207
Sat,2010,93
Sun,2010,71
Mon,2010,92
Tue,2010,119
Wed,2010,105
Thu,2010,149
Fri,2010,146
Sat,2011,109
Sun,2011,75
Mon,2011,107
Tue,2011,139
Wed,2011,149
Thu,2011,143
Fri,2011,147
Sat,2012,92
Sun,2012,74
Mon,2012,124
Tue,2012,99
Wed,2012,135
Thu,2012,143
Fri,2012,138
Sat,2013,98
Sun,2013,79
Mon,2013,108
Tue,2013,119
Wed,2013,127
Thu,2013,147
Fri,2013,172
Sat,2014,118
Sun,2014,68
Mon,2014,105
Tue,2014,139
Wed,2014,113
Thu,2014,127
Fri,2014,145
Sat,2015,114
Sun,2015,88
Mon,2015,121
Tue,2015,137
Wed,2015,132
Thu,2015,134
Fri,2015,144
Sat,2016,108
Sun,2016,78
Mon,2016,121
Tue,2016,141
Wed,2016,137
Thu,2016,142
Fri,2016,169
Sat,2017,64
Sun,2017,56
Mon,2017,84
Tue,2017,87
Wed,2017,106
Thu,2017,90
Fri,2017,90
