month,year,total_accident
Jan,2007,104
Feb,2007,91
Mar,2007,51
Apr,2007,62
May,2007,75
Jun,2007,69
Jul,2007,53
Aug,2007,72
Sep,2007,66
Oct,2007,83
Nov,2007,67
Dec,2007,100
Jan,2008,101
Feb,2008,132
Mar,2008,79
Apr,2008,61
May,2008,54
Jun,2008,68
Jul,2008,74
Aug,2008,71
Sep,2008,67
Oct,2008,77
Nov,2008,83
Dec,2008,100
Jan,2009,133
Feb,2009,83
Mar,2009,74
Apr,2009,67
May,2009,72
Jun,2009,71
Jul,2009,69
Aug,2009,67
Sep,2009,69
Oct,2009,81
Nov,2009,79
Dec,2009,106
Jan,2010,76
Feb,2010,68
Mar,2010,44
Apr,2010,64
May,2010,66
Jun,2010,65
Jul,2010,65
Aug,2010,61
Sep,2010,56
Oct,2010,74
Nov,2010,60
Dec,2010,77
Jan,2011,89
Feb,2011,100
Mar,2011,47
Apr,2011,32
May,2011,46
Jun,2011,68
Jul,2011,68
Aug,2011,75
Sep,2011,78
Oct,2011,94
Nov,2011,84
Dec,2011,88
Jan,2012,88
Feb,2012,85
Mar,2012,62
Apr,2012,48
May,2012,62
Jun,2012,62
Jul,2012,59
Aug,2012,51
Sep,2012,61
Oct,2012,64
Nov,2012,74
Dec,2012,90
Jan,2013,102
Feb,2013,81
Mar,2013,52
Apr,2013,68
May,2013,64
Jun,2013,33
Jul,2013,82
Aug,2013,65
Sep,2013,79
Oct,2013,88
Nov,2013,58
Dec,2013,78
Jan,2014,32
Feb,2014,91
Mar,2014,69
Apr,2014,65
May,2014,65
Jun,2014,69
Jul,2014,64
Aug,2014,74
Sep,2014,55
Oct,2014,69
Nov,2014,84
Dec,2014,78
Jan,2015,85
Feb,2015,120
Mar,2015,82
Apr,2015,57
May,2015,55
Jun,2015,62
Jul,2015,54
Aug,2015,62
Sep,2015,78
Oct,2015,75
Nov,2015,59
Dec,2015,81
Jan,2016,73
Feb,2016,78
Mar,2016,59
Apr,2016,61
May,2016,93
Jun,2016,81
Jul,2016,71
Aug,2016,64
Sep,2016,79
Oct,2016,76
Nov,2016,71
Dec,2016,91
Jan,2017,86
Feb,2017,93
Mar,2017,77
Apr,2017,56
May,2017,65
Jun,2017,78
Jul,2017,63
Aug,2017,54
Sep,2017,4
Oct,2017,0
Nov,2017,0
Dec,2017,0
